NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
Queensbridge-Ravenswood-Long Island City,09/01/2016,16.0,,5710.21,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,03/08/2018,75.0,,14171.29,0.0,160609.31960000002
Battery Park City-Lower Manhattan,03/05/2009,9.0,,2827023.71,0.0,3798151.2388888896
East New York,10/17/2007,9.0,,292488.18,15.0,457945.40111111116
Hunters Point-Sunnyside-West Maspeth,02/06/2008,75.0,,458645.3,0.0,160609.31960000002
Sunset Park West,05/15/2013,48.0,,30949.25,0.0,139256.485
Sunset Park West,10/13/2011,48.0,,152892.17,0.0,139256.485
Sunset Park West,11/01/2010,48.0,,106234.66,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,10/14/2008,75.0,,366741.43,0.0,160609.31960000002
park-cemetery-etc-Brooklyn,08/19/2019,15.0,,2047.66,0.0,36740.328
Hunts Point,02/03/2005,13.0,12.0,1132936.57,12.0,397635.44923076924
Hunters Point-Sunnyside-West Maspeth,10/14/2016,75.0,,12887.99,0.0,160609.31960000002
Sunset Park West,03/19/2015,48.0,,34562.74,0.0,139256.485
College Point,09/30/2011,7.0,,86567.97,2.0,574250.8085714286
Battery Park City-Lower Manhattan,07/01/2011,9.0,,17023100.96,0.0,3798151.2388888896
East New York,08/04/2008,9.0,,171197.31,15.0,457945.40111111116
Mott Haven-Port Morris,07/10/2009,14.0,,100253.68,10.0,159905.58428571429
Steinway,04/10/2018,7.0,,2127.39,20.0,255769.45285714284
Sunset Park West,07/03/2013,48.0,,2376660.64,0.0,139256.485
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,07/03/2017,10.0,,64256.13,0.0,437390.5
Queensbridge-Ravenswood-Long Island City,09/02/2008,16.0,,47366.44,0.0,447198.665
Greenpoint,03/04/2008,14.0,,605142.43,0.0,177222.05857142858
Hunts Point,06/03/2008,13.0,,149710.93,12.0,397635.44923076924
Hunters Point-Sunnyside-West Maspeth,08/04/2017,75.0,,25351.9,0.0,160609.31960000002
Manhattanville,06/10/2013,9.0,,13045.32,0.0,22030.588888888888
Maspeth,03/01/2006,9.0,10.0,323.11,10.0,20783.175555555554
Hunters Point-Sunnyside-West Maspeth,08/06/2018,75.0,,100909.46,0.0,160609.31960000002
Queensbridge-Ravenswood-Long Island City,04/03/2020,16.0,,372.55,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,10/17/2016,75.0,,180478.26,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,11/04/2015,75.0,,10145.32,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,07/08/2015,75.0,,59343.65,0.0,160609.31960000002
Queensbridge-Ravenswood-Long Island City,12/04/2012,16.0,,271227.06,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,07/08/2015,75.0,,13953.54,0.0,160609.31960000002
Queensbridge-Ravenswood-Long Island City,12/04/2018,16.0,,12719.64,0.0,447198.665
Queensbridge-Ravenswood-Long Island City,07/03/2019,16.0,,20959.99,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,06/08/2009,75.0,,19156.06,0.0,160609.31960000002
Sunset Park West,09/03/2014,48.0,,57013.29,0.0,139256.485
Mott Haven-Port Morris,11/06/2014,14.0,,627100.72,10.0,159905.58428571429
Hunters Point-Sunnyside-West Maspeth,07/07/2016,75.0,,32481.15,0.0,160609.31960000002
Bushwick South,07/07/2009,10.0,,295791.46,10.0,307800.03099999996
East New York,07/08/2015,9.0,,357832.21,15.0,457945.40111111116
East New York,07/05/2007,9.0,,378098.57,15.0,457945.40111111116
East New York,09/09/2008,9.0,,467120.83,15.0,457945.40111111116
park-cemetery-etc-Brooklyn,05/20/2019,15.0,,16510.55,0.0,36740.328
Maspeth,10/16/2015,9.0,,13603.31,10.0,20783.175555555554
Mott Haven-Port Morris,08/11/2014,14.0,,348702.62,10.0,159905.58428571429
Greenpoint,06/02/2010,14.0,,48609.78,0.0,177222.05857142858
Carroll Gardens-Columbia Street-Red Hook,07/10/2014,11.0,,8694.99,0.0,184683.94545454546
Hunters Point-Sunnyside-West Maspeth,10/05/2010,75.0,,453415.19,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,08/08/2017,75.0,,1989179.05,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,06/02/2010,75.0,,52481.11,0.0,160609.31960000002
park-cemetery-etc-Brooklyn,04/19/2019,15.0,,3698.07,0.0,36740.328
park-cemetery-etc-Brooklyn,07/19/2019,15.0,,4060.38,0.0,36740.328
Hunters Point-Sunnyside-West Maspeth,11/02/2018,75.0,,1612.61,0.0,160609.31960000002
Springfield Gardens South-Brookville,03/17/2008,5.0,,1629461.34,0.0,362028.862
Manhattanville,10/09/2012,9.0,,31505.67,0.0,22030.588888888888
Hunters Point-Sunnyside-West Maspeth,06/08/2009,75.0,,45996.81,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,03/06/2017,75.0,,6234.39,0.0,160609.31960000002
Greenpoint,11/03/2014,14.0,,195526.67,0.0,177222.05857142858
Greenpoint,06/02/2008,14.0,,57207.71,0.0,177222.05857142858
East Williamsburg,06/05/2018,11.0,,29814.67,0.0,143369.4790909091
Steinway,03/11/2016,7.0,,30010.37,20.0,255769.45285714284
park-cemetery-etc-Brooklyn,07/08/2014,15.0,,328295.65,0.0,36740.328
Crown Heights North,07/17/2015,9.0,,73171.6,0.0,17168.966666666667
Hunters Point-Sunnyside-West Maspeth,06/05/2020,75.0,,1838.98,0.0,160609.31960000002
Hunts Point,02/04/2008,13.0,,122136.06,12.0,397635.44923076924
Sunset Park West,08/10/2007,48.0,,22304.07,0.0,139256.485
Maspeth,07/17/2019,9.0,,48294.64,10.0,20783.175555555554
Carroll Gardens-Columbia Street-Red Hook,03/12/2015,11.0,,9722.52,0.0,184683.94545454546
Bushwick South,07/06/2011,10.0,,100084.45,10.0,307800.03099999996
Mott Haven-Port Morris,02/10/2010,14.0,,329539.83,10.0,159905.58428571429
East Williamsburg,03/09/2009,11.0,,492058.44,0.0,143369.4790909091
Hunters Point-Sunnyside-West Maspeth,07/14/2017,75.0,,50700.94,0.0,160609.31960000002
